id,name,hotel_id,address,link_hotel,city_id,quality,rating,number_people_rating,description,distance,image,price
71,"Samba Hue Hostel",hotel_6574090,"Ấp Tư Tây",https://is.gd/Ant4Rc,6231,1,9.7,11,"Phòng Giường Đôi với Ban công","107.599951,16.436651",https://is.gd/iGGtCa,296000
72,"Thanh An 2 Guesthouse",hotel_4074587,Huế,https://is.gd/IkqQFj,6231,0,7.1,183,"Phòng Giường Đôi Hạng Bình Dân","107.589221,16.460843",https://is.gd/JhV39p,148000
73,"Asean Garden Homestay Hue",hotel_6123950,Huế,https://is.gd/dZxSO2,6231,0,9.1,75,"Phòng Deluxe Giường Đôi","107.582233,16.473135",https://is.gd/FxeXZ1,304000
74,"Leranda Homestay",hotel_6433329,Huế,https://is.gd/YOYlw3,6231,0,8.8,6,"Phòng Superior có giường cỡ Queen","107.596173,16.471089",https://is.gd/NTUzjZ,852500
75,"Tùng Homestay",hotel_4624936,Huế,https://is.gd/QOTXxK,6231,3,9.4,201,"Phòng Giường Đôi Nhìn Ra Vườn","107.595483,16.464861",https://is.gd/1AFbUW,231000
76,"Hue River Side Villa",hotel_2130272,Huế,https://is.gd/aVGQhU,6231,3,9.7,552,"Villa Deluxe","107.59592952209,16.4727503115325",https://is.gd/OMO8zd,652192
77,"Champa Hue Hotel",hotel_621677,Huế,https://is.gd/l7VjsX,6231,2,7,59,"Phòng Superior Giường Đôi","107.600891590118,16.4678696567254",https://is.gd/F6Rx6W,220000
78,"Laguna Park Townhouses",hotel_2206200,"Lăng Cô",https://is.gd/cUGM1V,6231,3,7.9,14,"Biệt Thự 2 Phòng Ngủ","107.954804348265,16.3338115376781",https://is.gd/w5aAvU,3510000
79,"Thanh Lich Royal Boutique",hotel_1006132,Huế,https://is.gd/10sMC5,6231,4,8.6,972,"Phòng Superior Giường Đôi","107.589379549026,16.460446198125",https://is.gd/Y3kCfA,958800
80,"Hà Phương Homestay",hotel_5174646,"Lăng Cô",https://is.gd/TiUqu7,6231,0,8.4,26,"Phòng Giường Đôi","108.078345,16.237197",https://is.gd/FcB5Of,525000
81,"ÊMM Hotel Hue",hotel_248499,Huế,https://is.gd/xgBndJ,6231,4,8.9,182,"Phòng Superior Giường Đôi hoặc 2 Giường Đơn","107.591530680656,16.4598700064998",https://is.gd/yBAJE5,961170
